gpu,model,scenario_input_len,scenario_parallel,ttft,gen_tokens_per_second,total_time,total_concurrent_time
T4_x2,Qwen3-0.6B,5000,1,0.45,119.7,1.29,1.84
T4_x2,Qwen3-0.6B,5000,2,0.59,86.44,1.75,2.36
T4_x2,Qwen3-0.6B,5000,5,1.31,57.79,3.12,3.93
T4_x2,Qwen3-0.6B,10000,1,1.36,32.94,4.4,4.97
T4_x2,Qwen3-0.6B,10000,2,1.39,28.86,4.89,5.53
T4_x2,Qwen3-0.6B,10000,5,3.06,23.86,6.92,8.05
T4_x2,Qwen3-0.6B,15000,1,1.79,36.67,4.52,5.22
T4_x2,Qwen3-0.6B,15000,2,2.6,27.3,6.42,7.07
T4_x2,Qwen3-0.6B,15000,5,5.7,20.96,11.43,12.29
T4_x2,Qwen3-0.6B,20000,1,2.91,36.68,5.64,6.32
T4_x2,Qwen3-0.6B,20000,2,4.25,25.1,8.63,9.28
T4_x2,Qwen3-0.6B,20000,5,8.75,14.64,17.65,18.53
T4_x2,Qwen3-0.6B,25000,1,4.35,36.83,7.06,7.68
T4_x2,Qwen3-0.6B,25000,2,6.41,23.62,11.48,12.13
T4_x2,Qwen3-0.6B,25000,5,13.05,11.47,25.45,26.33
T4_x2,Qwen3-0.6B,30000,1,6.45,36.91,9.16,9.77
T4_x2,Qwen3-0.6B,30000,2,9.7,18.26,16.59,17.28
T4_x2,Qwen3-0.6B,30000,5,20.23,9.04,38.23,39.04
T4_x2,Qwen3-1.7B,1000,1,0.15,82.26,1.36,1.99
T4_x2,Qwen3-1.7B,1000,2,0.27,70.56,1.69,2.37
T4_x2,Qwen3-1.7B,1000,5,0.35,59.1,2.05,2.85
T4_x2,Qwen3-1.7B,5000,1,0.7,78.18,1.98,2.51
T4_x2,Qwen3-1.7B,5000,2,0.99,57.75,2.76,3.37
T4_x2,Qwen3-1.7B,5000,5,2.47,44.86,4.91,5.72
T4_x2,Qwen3-1.7B,10000,1,1.57,36.53,4.31,4.86
T4_x2,Qwen3-1.7B,10000,2,2.24,27.9,5.96,6.58
T4_x2,Qwen3-1.7B,10000,5,5.25,21.77,10.38,11.17
T4_x2,Qwen3-1.7B,15000,1,2.75,36.52,5.49,6.14
T4_x2,Qwen3-1.7B,15000,2,4.11,24.77,8.52,9.16
T4_x2,Qwen3-1.7B,15000,5,9.56,17.53,17.35,18.18
T4_x2,Qwen3-1.7B,20000,1,4.63,36.42,7.37,8.09
T4_x2,Qwen3-1.7B,20000,2,6.84,22.94,12.12,12.89
T4_x2,Qwen3-1.7B,20000,5,12.02,12.59,23.35,24.2
T4_x2,Qwen3-1.7B,25000,1,5.88,35.65,8.69,9.27
T4_x2,Qwen3-1.7B,25000,2,8.68,21.73,14.63,15.28
T4_x2,Qwen3-1.7B,25000,5,17.85,9.78,33.86,34.78
T4_x2,Qwen3-1.7B,30000,1,8.7,36.42,11.45,12.07
T4_x2,Qwen3-1.7B,30000,2,13.24,20.32,20.73,21.41
T4_x2,Qwen3-1.7B,30000,5,31.81,4.93,65.63,66.6
T4_x2,Qwen3-14B-INT8,1000,1,0.61,21.62,5.24,5.83
T4_x2,Qwen3-14B-INT8,1000,2,0.78,19.94,5.81,6.52
T4_x2,Qwen3-14B-INT8,1000,5,2.2,14.69,9.1,10.02
T4_x2,Qwen3-14B-INT8,5000,1,2.79,20.72,7.62,8.23
T4_x2,Qwen3-14B-INT8,5000,2,4.29,15.66,10.96,11.7
T4_x2,Qwen3-14B-INT8,5000,5,20.3,9.79,32.66,33.54
T4_x2,Qwen3-14B-INT8,10000,1,6.35,20.27,11.28,11.99
T4_x2,Qwen3-14B-INT8,10000,2,9.98,13.04,18.83,19.58
T4_x2,Qwen3-14B-INT8,10000,5,45.67,12.55,57.86,79.65
T4_x2,Qwen3-14B-INT8,15000,1,11.51,18.66,16.87,17.59
T4_x2,Qwen3-14B-INT8,15000,2,17.79,10.72,30.01,30.74
T4_x2,Qwen3-14B-INT8,15000,5,80.82,11.62,93.22,142.34
T4_x2,Qwen3-14B-INT8,20000,1,17.92,17.88,23.51,24.23
T4_x2,Qwen3-14B-INT8,20000,2,33.58,17.52,39.28,53.49
T4_x2,Qwen3-14B-INT8,20000,5,125.07,13.98,132.24,224.46
T4_x2,Qwen3-14B-INT8,25000,1,26.78,16.94,32.69,33.41
T4_x2,Qwen3-14B-INT8,25000,2,65.14,13.57,72.53,103.34
T4_x2,Qwen3-14B-INT8,25000,5,174.14,13.27,181.72,307.62
T4_x2,Qwen3-14B-INT8,30000,1,42.11,15.95,48.38,49.36
T4_x2,Qwen3-14B-INT8,30000,2,112.37,12.36,120.47,163.38
T4_x2,Qwen3-14B-INT8,30000,5,236.94,12.51,244.99,413.14
T4_x2,Qwen3-4B,1000,1,0.29,22.52,4.73,5.26
T4_x2,Qwen3-4B,1000,2,0.42,40.67,2.88,3.47
T4_x2,Qwen3-4B,1000,5,1.02,34.12,3.99,4.71
T4_x2,Qwen3-4B,5000,1,1.52,41.82,3.91,4.55
T4_x2,Qwen3-4B,5000,2,2.23,30.74,5.62,6.22
T4_x2,Qwen3-4B,5000,5,6.18,24.24,10.97,11.74
